,index,outlier,score
561,6378,D(maj),0.514158891661946
562,6390,D(maj),0.514158891661946
563,6416,G(min),0.5012844395396513
564,6417,G(min),0.5012844395396513
565,6418,G(min),0.5012844395396513
566,6423,F(min),0.531675187881862
567,6424,C(min),0.5412086816653819
568,6426,C(min),0.5412086816653819
569,6463,vi,0.5211389004144182
570,6464,C(min),0.5412086816653819
571,6467,F(min),0.531675187881862
572,6474,G(min),0.5012844395396513
573,6499,G(min),0.5012844395396513
574,6509,G(min),0.5012844395396513
575,6513,D(maj),0.514158891661946
576,6525,D(maj),0.514158891661946
577,6527,vi,0.5211389004144182
578,6528,vi,0.5211389004144182
579,6544,C(min),0.5412086816653819
580,6548,D(maj),0.514158891661946
581,6584,vi,0.5211389004144182
582,6661,vi,0.5211389004144182
583,6663,D(maj),0.514158891661946
584,6725,F(min),0.531675187881862
585,6727,G(min),0.5012844395396513
586,6748,G(min),0.5012844395396513
587,6749,G(min),0.5012844395396513
588,6750,G(min),0.5012844395396513
589,6760,vi,0.5211389004144182
590,6762,vi,0.5211389004144182
591,6766,vi,0.5211389004144182
592,6790,D(maj),0.514158891661946
593,6798,G(min),0.5012844395396513
594,6801,vi,0.5211389004144182
595,6809,D(maj),0.514158891661946
596,6828,G(min),0.5012844395396513
597,6829,G(min),0.5012844395396513
598,6830,G(min),0.5012844395396513
599,6854,D(maj),0.514158891661946
600,6871,C(min),0.5412086816653819
601,6872,C(min),0.5412086816653819
602,6874,G(min),0.5012844395396513
603,6876,C(min),0.5412086816653819
604,6879,G(min),0.5012844395396513
605,6881,C(min),0.5412086816653819
606,6883,G(min),0.5012844395396513
607,6929,G(min),0.5012844395396513
608,6932,vi,0.5211389004144182
609,6935,vi,0.5211389004144182
610,6937,vi,0.5211389004144182
611,6939,C(min),0.5412086816653819
612,6940,D(maj),0.514158891661946
613,6970,G(min),0.5012844395396513
614,6971,D(maj),0.514158891661946
615,6974,D(maj),0.514158891661946
616,6978,G(min),0.5012844395396513
617,6984,G(min),0.5012844395396513
618,6988,D(maj),0.514158891661946
619,7000,D(maj),0.514158891661946
620,7040,G(min),0.5012844395396513
621,7052,D(maj),0.514158891661946
622,7095,D(maj),0.514158891661946
623,7096,D(maj),0.514158891661946
624,7131,D(maj),0.514158891661946
625,7145,G(min),0.5012844395396513
626,7146,G(min),0.5012844395396513
627,7149,F(min),0.531675187881862
628,7151,C(min),0.5412086816653819
629,7153,F(min),0.531675187881862
630,7167,D(maj),0.514158891661946
631,7168,D(maj),0.514158891661946
632,7169,D(maj),0.514158891661946
633,7176,G(min),0.5012844395396513
634,7262,G(min),0.5012844395396513
635,7263,G(min),0.5012844395396513
636,7264,G(min),0.5012844395396513
637,7273,D(maj),0.514158891661946
638,7322,G(min),0.5012844395396513
639,7327,G(min),0.5012844395396513
640,7348,D(maj),0.514158891661946
641,7349,D(maj),0.514158891661946
642,7358,D(maj),0.514158891661946
643,7394,G(min),0.5012844395396513
644,7398,C(min),0.5412086816653819
645,7399,C(min),0.5412086816653819
646,7400,C(min),0.5412086816653819
647,7430,vi,0.5211389004144182
648,7431,C(min),0.5412086816653819
649,7432,G(min),0.5012844395396513
650,7433,G(min),0.5012844395396513
651,7437,C(min),0.5412086816653819
